Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
331,7419,5681,0.765737,0.293176,1.53147,869,0.678321,0.885842
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
9,111,93,0.837838,0.350986,1.67568,9,0.487991,0.582441
100,1760,1388,0.788636,0.310974,1.57727,186,0.573055,0.726641
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
312,13084,9082,0.69413,0.240908,1.38826,2001,1.55789,2.24437
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714
3,36,32,0.888889,0.395062,1.77778,2,0.425115,0.478255
50,1885,1775,0.941645,0.443347,1.88329,55,0.335822,0.356634
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
471,16830,10310,0.612597,0.187637,1.22519,3260,1.63778,2.67351
58,1010,792,0.784158,0.307452,1.56832,109,0.625446,0.797602
268,12315,8713,0.707511,0.250286,1.41502,1801,1.64288,2.32205
10360,1025257,454785,0.443581,0.0983823,0.887163,285236,4.58047,10.3261
2,25,23,0.92,0.4232,1.84,1,0.353364,0.384091
41,1336,1238,0.926647,0.429337,1.85329,49,0.382301,0.412564
38,386,292,0.756477,0.286128,1.51295,47,0.477968,0.631834
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
6107,516281,181359,0.35128,0.0616987,0.702559,167461,4.79988,13.664
183,2690,812,0.301859,0.0455593,0.603717,939,1.496,4.95596
2,30,28,0.933333,0.435556,1.86667,1,0.335264,0.359212
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524
6,75,57,0.76,0.2888,1.52,9,0.797527,1.04938
53,1655,1549,0.935952,0.438003,1.8719,53,0.31065,0.331908
58,1839,1685,0.916259,0.419765,1.83252,77,0.406634,0.443798
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434
60,2297,2135,0.929473,0.43196,1.85895,81,0.401624,0.432099
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
4,56,50,0.892857,0.398597,1.78571,3,0.427138,0.478394
559,18752,9040,0.482082,0.116201,0.964164,4856,2.03295,4.21702
129,4331,3937,0.909028,0.413166,1.81806,197,0.419924,0.461948
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524
3,110,106,0.963636,0.464298,1.92727,2,0.325947,0.338247
464,24797,12791,0.515829,0.13304,1.03166,6003,2.94408,5.70747
3,27,21,0.777778,0.302469,1.55556,3,0.69101,0.888441
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
187,6796,3326,0.489406,0.119759,0.978811,1735,2.42101,4.94684
1528,83523,36281,0.434383,0.0943444,0.868767,23621,3.14087,7.23064
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
2,44,42,0.954545,0.455579,1.90909,1,0.302441,0.316843
9,88,70,0.795455,0.316374,1.59091,9,0.512981,0.64489
46,1234,1130,0.915721,0.419273,1.83144,52,0.365639,0.399291
4,146,140,0.958904,0.459749,1.91781,3,0.34605,0.360881
197,6266,4868,0.776891,0.30178,1.55378,699,0.934466,1.20283
88,1914,1450,0.757576,0.286961,1.51515,232,0.803238,1.06027
3,33,27,0.818182,0.334711,1.63636,3,0.652964,0.798067
