Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
331,7419,5681,0.765737,0.293176,1.53147,869,0.678321,0.885842,1,1,1
9,111,93,0.837838,0.350986,1.67568,9,0.487991,0.582441,1,92,8
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,310,2
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765,1,1,1
3,36,32,0.888889,0.395062,1.77778,2,0.425115,0.478255,1,23,27
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557,1,469,2
58,1010,792,0.784158,0.307452,1.56832,109,0.625446,0.797602,1,266,2
10360,1025257,454785,0.443581,0.0983823,0.887163,285236,4.58047,10.3261,10,1,1
41,1336,1238,0.926647,0.429337,1.85329,49,0.382301,0.412564,1,25,13
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,6106,1
183,2690,812,0.301859,0.0455593,0.603717,939,1.496,4.95596,1,1,1
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524,1,1,5
53,1655,1549,0.935952,0.438003,1.8719,53,0.31065,0.331908,1,42,16
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434,1,53,7
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,2,2
559,18752,9040,0.482082,0.116201,0.964164,4856,2.03295,4.21702,1,122,7
2,19,17,0.894737,0.400277,1.78947,1,0.384311,0.429524,1,2,1
464,24797,12791,0.515829,0.13304,1.03166,6003,2.94408,5.70747,1,2,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,183,4
1528,83523,36281,0.434383,0.0943444,0.868767,23621,3.14087,7.23064,2,1,1
2,44,42,0.954545,0.455579,1.90909,1,0.302441,0.316843,1,5,4
46,1234,1130,0.915721,0.419273,1.83144,52,0.365639,0.399291,1,2,2
197,6266,4868,0.776891,0.30178,1.55378,699,0.934466,1.20283,1,17,71
3,33,27,0.818182,0.334711,1.63636,3,0.652964,0.798067,2,34,22
127,5142,4036,0.784909,0.308041,1.56982,553,1.17329,1.49481,1,1,1
47,1022,920,0.900196,0.405176,1.80039,51,0.360515,0.400486,1,1,1
93,1783,1477,0.828379,0.343106,1.65676,153,0.505986,0.610815,1,241,2
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,1,1
1117,44261,24907,0.56273,0.158333,1.12546,9677,1.86468,3.31364,1,1,1
4,21,15,0.714286,0.255102,1.42857,3,0.558691,0.782168,1,1,1
146,5998,4666,0.777926,0.302584,1.55585,666,1.2074,1.55207,1,1470,1
250,8469,5935,0.700791,0.245554,1.40158,1267,1.29026,1.84115,1,3,1
2,82,80,0.97561,0.475907,1.95122,1,0.260542,0.267055,1,1,1
9,76,16,0.210526,0.0221607,0.421053,30,1.76695,8.39301,5,682,1
35,951,871,0.915878,0.419416,1.83176,40,0.383685,0.418925,1,1,1
58,1885,1703,0.903448,0.408109,1.8069,91,0.478994,0.530184,1,366,2
33,1017,939,0.923304,0.426245,1.84661,39,0.392925,0.425564,1,724,1
2,34,32,0.941176,0.442907,1.88235,1,0.32382,0.344059,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,665,2
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,55,10
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993,1,1,1
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068,1,878,2
707,59495,24987,0.419985,0.0881936,0.83997,17254,5.11144,12.1705,1,1,1
1319,73494,33194,0.451656,0.101997,0.903312,20150,3.13932,6.95068,2,380,3
28,525,467,0.889524,0.395626,1.77905,29,0.380639,0.427914,1,117,3
45,1688,1594,0.944313,0.445863,1.88863,47,0.323595,0.342678,1,22,8
3,59,55,0.932203,0.434502,1.86441,2,0.374921,0.402188,1,1,1
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402,1,355,2
34,1407,1335,0.948827,0.450137,1.89765,36,0.336284,0.35442,1,626,1
43,1051,957,0.910561,0.414561,1.82112,47,0.361687,0.397213,1,224,3
57,1395,1277,0.915412,0.41899,1.83082,59,0.329134,0.359547,1,107,9
6,79,57,0.721519,0.260295,1.44304,11,0.963346,1.33516,1,938,1
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,22,26
43,718,604,0.841226,0.35383,1.68245,57,0.464021,0.551601,1,35,16
2,33,31,0.939394,0.44123,1.87879,1,0.326482,0.347545,1,2,1
366,13951,8473,0.60734,0.184431,1.21468,2739,1.80561,2.97298,1,1,1
792,37091,26087,0.703324,0.247333,1.40665,5502,1.52036,2.16168,1,1,1
97,1714,1370,0.7993,0.31944,1.5986,172,0.548253,0.685917,1,169,6
604,24769,13913,0.56171,0.157759,1.12342,5428,2.04527,3.64114,1,2,1
32,374,260,0.695187,0.241643,1.39037,57,0.692008,0.995427,1,115,4
76,2153,1883,0.874594,0.382457,1.74919,135,0.532909,0.609322,1,2,1
2,27,25,0.925926,0.428669,1.85185,1,0.345505,0.373145,1,297,3
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117,1,26,29
