Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
82,310,76,0.245161,0.030052,0.490323,117,0.572711,2.33606,1,39.0,20.0
61,296,140,0.472973,0.111852,0.945946,78,0.517417,1.09397,1,69.0,4.0
13,29,5,0.172414,0.0148633,0.344828,12,0.631208,3.661,1,93.0,8.0
185,1434,576,0.401674,0.0806709,0.803347,429,0.734637,1.82894,1,409.0,3.0
181,1189,349,0.293524,0.0430782,0.587048,420,0.754571,2.57073,1,496.0,2.0
50,301,67,0.222591,0.0247735,0.445183,117,0.944094,4.24138,1,4.0,1.0
56,191,63,0.329843,0.0543982,0.659686,64,0.501026,1.51898,1,132.0,3.0
515,4265,1307,0.306448,0.0469551,0.612896,1479,0.791159,2.58171,1,303.0,3.0
373,12093,559,0.0462251,0.00106838,0.0924502,5767,3.78714,81.9282,1,2.0,1.0
2,2,0,0.0,0.0,0.0,66,0.510067,1.08553,1,99.0,5.0
265,2178,716,0.328742,0.0540356,0.657484,731,0.826376,2.51375,1,125.0,2.0
99,472,136,0.288136,0.0415111,0.576271,168,0.634632,2.20255,1,277.0,3.0
38,192,100,0.520833,0.135634,1.04167,46,0.530165,1.01792,1,908.0,1.0
4,30,24,0.8,0.32,1.6,3,0.507744,0.63468,1,30.0,26.0
3,5,1,0.2,0.02,0.4,2,0.953784,4.76892,1,1.0,1.0
154,710,150,0.211268,0.022317,0.422535,280,0.637677,3.01834,1,1.0,1.0
4,8,2,0.25,0.03125,0.5,3,0.830482,3.32193,1,99.0,5.0
124,525,179,0.340952,0.0581243,0.681905,173,0.512897,1.50431,1,1095.0,2.0
10,39,7,0.179487,0.0161078,0.358974,16,1.00562,5.60272,1,65.0,6.0
87,498,232,0.465863,0.108514,0.931727,133,0.56678,1.21662,1,41.0,18.0
116,382,58,0.151832,0.0115265,0.303665,162,0.540867,3.56226,1,21.0,20.0
389,2465,589,0.238945,0.0285474,0.47789,938,0.71092,2.97524,1,63.0,6.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,349.0,2.0
2,2,0,0.0,0.0,0.0,68,0.457288,0.907949,1,2.0,1.0
581,4835,1143,0.236401,0.0279428,0.472802,1846,0.862361,3.64787,1,597.0,1.0
5,10,0,0.0,0.0,0.0,35,0.46267,0.894495,1,1675.0,1.0
56,226,100,0.442478,0.0978933,0.884956,63,0.477888,1.08003,1,1.0,1.0
52,252,112,0.444444,0.0987654,0.888889,70,0.56057,1.26128,1,2.0,1.0
45,222,132,0.594595,0.176771,1.18919,45,0.426193,0.71678,1,79.0,5.0
3,4,0,0.0,0.0,0.0,349,0.727653,7.32378,1,128.0,6.0
329,2715,539,0.198527,0.0197064,0.397053,1088,0.963079,4.85113,1,57.0,25.0
5,8,0,0.0,0.0,0.0,1,0.715338,1.19223,1,3.0,1.0
58,203,73,0.359606,0.0646582,0.719212,65,0.485673,1.35057,1,1.0,1.0
3,5,1,0.2,0.02,0.4,2,0.953784,4.76892,1,98.0,10.0
36,193,107,0.554404,0.153682,1.10881,43,0.522605,0.942643,1,41.0,12.0
688,9062,2612,0.288237,0.0415402,0.576473,3225,1.18454,4.10962,1,87.0,7.0
55,192,72,0.375,0.0703125,0.75,60,0.477777,1.27407,1,83.0,4.0
3,5,1,0.2,0.02,0.4,2,0.953784,4.76892,1,370.0,4.0
294,2421,759,0.313507,0.0491433,0.627014,831,0.835264,2.66426,1,8.0,6.0
5,10,2,0.2,0.02,0.4,4,0.8,4.0,1,1.0,1.0
7,15,3,0.2,0.02,0.4,6,0.728806,3.64403,1,94.0,9.0
45,173,47,0.271676,0.036904,0.543353,63,0.625546,2.30254,1,280.0,1.0
349,3193,1283,0.401816,0.0807282,0.803633,955,0.780889,1.9434,1,3.0,3.0
279,2146,398,0.185461,0.017198,0.370923,874,0.940266,5.06987,1,176.0,3.0
100,354,112,0.316384,0.0500495,0.632768,121,0.474695,1.50038,1,20.0,18.0
626,7711,2715,0.352094,0.0619852,0.704189,2498,1.02658,2.91563,1,106.0,5.0
16,55,25,0.454545,0.103306,0.909091,15,0.538681,1.1851,1,1.0,1.0
79,397,193,0.486146,0.118169,0.972292,102,0.496823,1.02196,1,94.0,8.0
125,501,115,0.229541,0.0263445,0.459082,193,0.571886,2.49143,1,90.0,3.0
356,3650,1320,0.361644,0.0653931,0.723288,1165,0.918642,2.54018,1,81.0,4.0
235,1914,926,0.483804,0.117033,0.967607,494,0.640513,1.32391,1,23.0,23.0
66,309,117,0.378641,0.0716844,0.757282,96,0.584165,1.54279,1,51.0,3.0
176,1167,525,0.449871,0.101192,0.899743,321,0.59466,1.32184,1,307.0,2.0
45,152,64,0.421053,0.0886427,0.842105,44,0.448143,1.06434,1,36.0,34.0
2,2,0,0.0,0.0,0.0,615,0.864504,2.45633,1,2.0,2.0
2,2,0,0.0,0.0,0.0,393,0.778357,2.09121,1,75.0,10.0
10,22,4,0.181818,0.0165289,0.363636,9,0.67043,3.68736,1,36.0,12.0
39,151,53,0.350993,0.0615982,0.701987,49,0.576606,1.64278,1,96.0,7.0
130,622,166,0.266881,0.0356127,0.533762,228,0.627766,2.35223,1,158.0,3.0
15,38,10,0.263158,0.034626,0.526316,14,0.590798,2.24503,1,1.0,1.0
366,3416,1744,0.510539,0.130325,1.02108,836,0.646425,1.26616,1,64.0,23.0
